JobTitleID,JobTitle,Category,Description,IsRecommended
67,AI Engineer,Technology,"As a AI Engineer, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
96,Account Executive,Sales,"As a Account Executive, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
33,Account Manager,Management,"As a Account Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
74,Accountant,Finance,"As a Accountant, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
77,Accounting Clerk,Finance,"As a Accounting Clerk, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
76,Accounting Manager,Finance,"As a Accounting Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
129,Advertising Manager,Marketing,"As a Advertising Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
55,Android Developer,Technology,"As a Android Developer, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
29,Assistant Manager,Management,"As a Assistant Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
83,Auditor,Finance,"As a Auditor, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
50,Back-End Developer,Technology,"As a Back-End Developer, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
142,Benefits Administrator,Human Resources,"As a Benefits Administrator, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
22,Board Member,Executive,"As a Board Member, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
23,Board of Directors,Executive,"As a Board of Directors, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
78,Bookkeeper,Finance,"As a Bookkeeper, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
40,Branch Manager,Management,"As a Branch Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
122,Brand Manager,Marketing,"As a Brand Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
99,Business Development Manager,Sales,"As a Business Development Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
98,Business Development Representative,Sales,"As a Business Development Representative, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
34,Business Manager,Management,"As a Business Manager, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
24,Chairman,Executive,"As a Chairman, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
26,Chairperson,Executive,"As a Chairperson, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
25,Chairwoman,Executive,"As a Chairwoman, I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
15,Chief Data Officer (CDO),Executive,"As a Chief Data Officer (CDO), I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
7,Chief Executive Officer (CEO),Executive,"As a Chief Executive Officer (CEO), I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
9,Chief Financial Officer (CFO),Executive,"As a Chief Financial Officer (CFO), I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
12,Chief Human Resources Officer (CHRO),Executive,"As a Chief Human Resources Officer (CHRO), I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
14,Chief Information Officer (CIO),Executive,"As a Chief Information Officer (CIO), I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
11,Chief Marketing Officer (CMO),Executive,"As a Chief Marketing Officer (CMO), I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
8,Chief Operating Officer (COO),Executive,"As a Chief Operating Officer (COO), I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
13,Chief Product Officer (CPO),Executive,"As a Chief Product Officer (CPO), I was responsible for managing all aspects of the role, working with cross-functional teams, and driving strategic initiatives.",true
